sentence,label,severity
There is too much background noise,TOO_NOISY,0.55
I can hear a lot of ambient noise around me,TOO_NOISY,0.5
The room noise is overwhelming,TOO_NOISY,0.8
There is a constant hissing interference,TOO_NOISY,0.6
The background sounds are distracting,TOO_NOISY,0.55
There is way too much environmental noise,TOO_NOISY,0.7
I keep hearing rumbling in the background,TOO_NOISY,0.6
The background noise is really bothering me,TOO_NOISY,0.75
I cannot concentrate because of the ambient noise,TOO_NOISY,0.7
There is a lot of static interference,TOO_NOISY,0.65
The background noise level is unbearable,TOO_NOISY,0.95
There is too much wind and traffic noise,TOO_NOISY,0.6
My environment sounds chaotic and noisy,TOO_NOISY,0.75
I hear a buzzing background hum that will not stop,TOO_NOISY,0.65
The fan and traffic interference is incredibly annoying,TOO_NOISY,0.7
The noise floor is too high,TOO_NOISY,0.65
There is background hiss and hum all around me,TOO_NOISY,0.6
The ambient interference is getting uncomfortable,TOO_NOISY,0.8
Please reduce the background noise,TOO_NOISY,0.6
There is just a tiny bit of background hiss,TOO_NOISY,0.15
I notice some faint ambient sounds,TOO_NOISY,0.2
There is slight background interference,TOO_NOISY,0.25
A faint hissing background noise,TOO_NOISY,0.2
The surrounding noise is distracting,TOO_NOISY,0.55
Too much environmental background interference,TOO_NOISY,0.7
I think I can detect a very faint background hiss,TOO_NOISY,0.05
There might be a barely noticeable background hum,TOO_NOISY,0.08
A whisper of background noise perhaps,TOO_NOISY,0.1
The background noise today is absolutely excruciating,TOO_NOISY,1.0
The background roar makes it impossible to think,TOO_NOISY,0.85
A non-stop scraping background sound is driving me mad,TOO_NOISY,0.9
The background environment has a heavy roaring drone,TOO_NOISY,0.75
I hear low-frequency thumping patterns underneath,TOO_NOISY,0.55
The surrounding clatter is intensely disruptive,TOO_NOISY,0.8
A sharp high-pitched whine cuts through the audio,TOO_NOISY,0.85
The ambient din completely masks everything else,TOO_NOISY,0.9
I notice an intermittent static crackle over here,TOO_NOISY,0.45
The underlying room tone is incredibly muddy,TOO_NOISY,0.5
A persistent electrical hum dominates the space,TOO_NOISY,0.65
The dynamic background racket keeps breaking focus,TOO_NOISY,0.7
There is an annoying mechanical rattling loop nearby,TOO_NOISY,0.6
The baseline acoustic environment is very dirty,TOO_NOISY,0.55
A sudden wave of static rushes over the channel,TOO_NOISY,0.7
The background environment is filled with feedback,TOO_NOISY,0.8
This non-stop ambient rushing sound is pure torture,TOO_NOISY,0.95
There is a very soft rustling sound in the back,TOO_NOISY,0.12
I can spot a minor line-frequency buzz if I try,TOO_NOISY,0.18
An ultra-faint high frequency whistling artifact,TOO_NOISY,0.1
The signal is buried under intense white noise,TOO_NOISY,0.9
A grinding ambient noise is making my ears hurt,TOO_NOISY,0.85
The background texture is filled with heavy hash,TOO_NOISY,0.65
I hear a cyclic thudding sound in the far background,TOO_NOISY,0.4
The continuous clatter is utterly deafening,TOO_NOISY,0.95
A steady annoying rushing air sound fills the room,TOO_NOISY,0.5
The signal path has severe environmental leakage,TOO_NOISY,0.65
I am struggling with constant background distortion,TOO_NOISY,0.75
The surrounding racket is genuinely intolerable,TOO_NOISY,0.9
A minor clicking artifact pops up occasionally,TOO_NOISY,0.22
There is an underlying breeze sound behind the audio,TOO_NOISY,0.35
The environment sounds like an engine room,TOO_NOISY,0.8
A deep acoustic rumble is clouding the low frequencies,TOO_NOISY,0.55
The channel is flooded with harsh ambient friction,TOO_NOISY,0.75
I can perceive a microscopic trace of line hum,TOO_NOISY,0.04
The environmental chaos is absolutely overwhelming,TOO_NOISY,0.9
A dense wall of chatter is masking the main track,TOO_NOISY,0.7
The ongoing background noise is extremely severe,TOO_NOISY,0.85
There is a subtle breathing noise on the line,TOO_NOISY,0.2
The persistent ambient static is fiercely irritating,TOO_NOISY,0.75
A massive clanging noise is occurring in the back,TOO_NOISY,0.8
The environmental background level is highly excessive,TOO_NOISY,0.65
An intense low-end drone is vibrating the signal,TOO_NOISY,0.7
I hear minor operational machine noise in the back,TOO_NOISY,0.3
The background hiss is moderately intrusive here,TOO_NOISY,0.45
A devastating amount of background crackle exists,TOO_NOISY,0.95
The surrounding ambient hash is quite distracting,TOO_NOISY,0.5
There is a slight wind interference on this channel,TOO_NOISY,0.3
The ongoing background hubbub is making me crazy,TOO_NOISY,0.85
A trace amount of background rumble is noticeable,TOO_NOISY,0.15
The background atmosphere is incredibly loud and busy,TOO_NOISY,0.8
I hear a constant screeching interference loop,TOO_NOISY,0.9
There is an annoying small whine in the background,TOO_NOISY,0.35
The background noise is completely choking the audio,TOO_NOISY,0.85
A light background static is currently tracking,TOO_NOISY,0.25
The room suffers from extreme background rumble,TOO_NOISY,0.75
An agonizing background racket is blasting non-stop,TOO_NOISY,1.0
There is too much ambient texture bleeding through,TOO_NOISY,0.5
The background is full of chaotic transient pops,TOO_NOISY,0.65
I hear a persistent ticking noise in the space,TOO_NOISY,0.4
The ambient noise floor is noticeably high,TOO_NOISY,0.55
A severe rushing wind sound dominates the environment,TOO_NOISY,0.8
There is an irritating low-pitched hum occurring,TOO_NOISY,0.5
The background sounds are moderately overwhelming,TOO_NOISY,0.6
I am noticing severe environmental noise bleed,TOO_NOISY,0.75
A marginal background hiss is tracking on the line,TOO_NOISY,0.18
The background atmosphere is intensely noisy today,TOO_NOISY,0.8
An explosive burst of background static just hit,TOO_NOISY,0.85
The underlying environmental interference is constant,TOO_NOISY,0.6
There is an unbearable amount of room rumble here,TOO_NOISY,0.9
A tiny hint of wind noise is floating around,TOO_NOISY,0.1
The ambient interference level is moderately high,TOO_NOISY,0.55
I hear a continuous mechanical grinding in the back,TOO_NOISY,0.7
The background noise is incredibly fierce right now,TOO_NOISY,0.85
There is a slight hum but it is barely there,TOO_NOISY,0.12
The room reflection and ambient din is staggering,TOO_NOISY,0.75
A massive wall of background sound blocks the track,TOO_NOISY,0.9
The environmental static is wildly distracting to me,TOO_NOISY,0.7
I perceive an annoying rhythmic background pounding,TOO_NOISY,0.6
The background noise floor is thoroughly unpleasant,TOO_NOISY,0.65
There is a faint electrical buzz tracking continuously,TOO_NOISY,0.22
The noise environment is absolutely disastrous,TOO_NOISY,0.95
A persistent background rushing sound is very annoying,TOO_NOISY,0.55
The underlying room noise is highly disruptive,TOO_NOISY,0.7
I can hear an intrusive high-frequency hiss loop,TOO_NOISY,0.65
There is too much acoustic clutter in this room,TOO_NOISY,0.5
The ambient background noise is painfully intense,TOO_NOISY,0.9
A marginal trace of environmental rumble is present,TOO_NOISY,0.14
The ongoing room chatter is completely overwhelming,TOO_NOISY,0.75
I hear a very minor scratching background artifact,TOO_NOISY,0.2
The surrounding environmental noise is purely brutal,TOO_NOISY,0.95
There is an annoying mechanical hum tracking behind,TOO_NOISY,0.45
The background noise profile is deeply problematic,TOO_NOISY,0.65
A continuous line hum is completely masking detail,TOO_NOISY,0.7
I notice a moderate amount of background static,TOO_NOISY,0.4
The surrounding acoustic environment is a total mess,TOO_NOISY,0.85
There is a tiny microscopic whisper of background hiss,TOO_NOISY,0.04
The severe background noise is killing my focus,TOO_NOISY,0.8
A loud piercing hiss is constantly running behind,TOO_NOISY,0.75
The underlying ambient racket is highly uncomfortable,TOO_NOISY,0.7
I hear a faint distant rumbling in the background,TOO_NOISY,0.25
The background noise level is completely out of hand,TOO_NOISY,0.9
There is a moderate drone tracking in the background,TOO_NOISY,0.45
The ambient atmosphere is intensely distracting here,TOO_NOISY,0.65
A steady stream of background static is very clear,TOO_NOISY,0.5
The surrounding noise is completely overpowering me,TOO_NOISY,0.8
I hear an intermittent thumping noise on the line,TOO_NOISY,0.35
There is too much environmental clutter on this channel,TOO_NOISY,0.6
The background clatter is unbelievably agonizing,TOO_NOISY,0.95
A minimal touch of room hiss is audible right now,TOO_NOISY,0.16
The continuous background roar is highly distressing,TOO_NOISY,0.85
I am noticing an annoying clicking noise behind me,TOO_NOISY,0.3
The room noise floor is quite severe at the moment,TOO_NOISY,0.7
There is a devastating level of ambient interference,TOO_NOISY,0.95
A light atmospheric buzz is tracking on the channel,TOO_NOISY,0.2
The background rumble is making it hard to follow,TOO_NOISY,0.6
I perceive a constant high-frequency static blanket,TOO_NOISY,0.7
The environmental background noise is purely excessive,TOO_NOISY,0.75
There is an underlying machine drone that will not stop,TOO_NOISY,0.55
The severe ambient din is utterly unmanageable,TOO_NOISY,0.9
A subtle trace of environmental hiss can be heard,TOO_NOISY,0.12
The background noise is incredibly loud and annoying,TOO_NOISY,0.8
I hear a constant scratching interference in back,TOO_NOISY,0.65
The environmental noise floor is extremely disruptive,TOO_NOISY,0.75
There is too much background hash on this line,TOO_NOISY,0.55
The surrounding racket is genuinely painful to hear,TOO_NOISY,1.0
A moderate line-frequency buzz is tracking constantly,TOO_NOISY,0.4
The background roar is completely overwhelming the signal,TOO_NOISY,0.85
I can hear a faint mechanical clicking background sound,TOO_NOISY,0.22
There is an intense wall of ambient static around,TOO_NOISY,0.8
The baseline background noise is highly uncomfortable,TOO_NOISY,0.65
A continuous heavy rumble is choking out everything,TOO_NOISY,0.8
The environment sounds deeply chaotic and full of noise,TOO_NOISY,0.75
I think there is a slight background buzz tracking,TOO_NOISY,0.18
The ambient interference is completely out of control,TOO_NOISY,0.9
There is a persistent background clatter occurring,TOO_NOISY,0.55
The background hiss is intensely distracting right now,TOO_NOISY,0.7
A micro amount of room rumble can be detected,TOO_NOISY,0.08
The background environment is intensely noisy and loud,TOO_NOISY,0.85
I hear an irritating continuous rushing wind sound,TOO_NOISY,0.6
There is too much underlying static interference here,TOO_NOISY,0.65
The surrounding din is thoroughly unbearable to face,TOO_NOISY,0.95
A low-level background drone is constantly tracking,TOO_NOISY,0.35
The background noise profile is exceptionally heavy,TOO_NOISY,0.8
I can spot a minor background hiss on the line,TOO_NOISY,0.25
There is a heavy amount of environmental leakage here,TOO_NOISY,0.7
The background racket is completely splitting my head,TOO_NOISY,0.9
A faint background whistling loop is barely audible,TOO_NOISY,0.15
The room noise is thoroughly disrupting the recording,TOO_NOISY,0.6
There is an annoying mechanical rattle in the back,TOO_NOISY,0.4
The ambient static level is exceptionally high now,TOO_NOISY,0.75
I hear a constant deep rumble underneath the track,TOO_NOISY,0.5
The background atmosphere is intensely chaotic today,TOO_NOISY,0.85
There is a trace of background crackle on the line,TOO_NOISY,0.1
The persistent ambient noise floor is highly annoying,TOO_NOISY,0.65
A severe rushing sound is dominating the background,TOO_NOISY,0.75
The room suffers from an intense ambient noise layer,TOO_NOISY,0.7
I notice a constant low-pitched drone behind me,TOO_NOISY,0.45
There is too much environmental clutter around the track,TOO_NOISY,0.55
The background noise today is absolutely devastating,TOO_NOISY,1.0
A light room hiss is tracking but it is small,TOO_NOISY,0.2
The surrounding racket is completely masking everything,TOO_NOISY,0.85
I hear an intermittent cracking sound in the back,TOO_NOISY,0.3
There is an underlying layer of heavy static hum,TOO_NOISY,0.6
The ambient interference level is thoroughly painful,TOO_NOISY,0.95
A subtle trace of room rumble is barely noticeable,TOO_NOISY,0.06
The continuous background roar is highly intrusive,TOO_NOISY,0.8
I perceive an annoying continuous mechanical clicking,TOO_NOISY,0.5
There is too much ambient background racket occurring,TOO_NOISY,0.65
The background noise is incredibly severe and heavy,TOO_NOISY,0.85
A faint electrical hum is tracking in the background,TOO_NOISY,0.25
The underlying room tone is exceptionally noisy now,TOO_NOISY,0.7
There is an intense wall of environmental noise here,TOO_NOISY,0.9
I notice a constant high-frequency background hiss,TOO_NOISY,0.6
The surrounding dynamic racket keeps breaking my focus,TOO_NOISY,0.75
A severe amount of background static is running here,TOO_NOISY,0.8
There is a minor trace of wind noise bleeding in,TOO_NOISY,0.14
The baseline acoustic noise is thoroughly disruptive,TOO_NOISY,0.65
An agonizing clattering sound is blasting continuously,TOO_NOISY,0.95
I hear a constant deep machine drone behind everything,TOO_NOISY,0.55
There is too much ambient hash floating around me,TOO_NOISY,0.5
The background noise floor is entirely unmanageable,TOO_NOISY,0.85
A faint background scratch loop can be heard clearly,TOO_NOISY,0.22
The continuous environmental noise is purely intense,TOO_NOISY,0.75
I am noticing a severe level of room rumble bleed,TOO_NOISY,0.8
There is an annoying mechanical hum tracking continuously,TOO_NOISY,0.45
The background noise floor is highly excessive here,TOO_NOISY,0.7
A devastating amount of background crackle is tracking,TOO_NOISY,0.9
The room atmosphere is intensely loud and full of noise,TOO_NOISY,0.8
I hear a persistent ticking noise in the background,TOO_NOISY,0.35
There is too much environmental leakage on the line,TOO_NOISY,0.6
The surrounding ambient hash is thoroughly distracting,TOO_NOISY,0.55
A continuous roaring drone is completely choking detail,TOO_NOISY,0.85
There is a tiny hint of static but it is minor,TOO_NOISY,0.12
The environmental chaos is absolutely agonizing to hear,TOO_NOISY,1.0
I hear an intrusive low-frequency hum loop tracking,TOO_NOISY,0.5
The underlying room noise is exceptionally disruptive,TOO_NOISY,0.75
I cannot make out what people are saying,SPEECH_UNCLEAR,0.7
Voices are muffled and hard to understand,SPEECH_UNCLEAR,0.65
Words sound like they are underwater,SPEECH_UNCLEAR,0.75
I keep asking people to repeat themselves,SPEECH_UNCLEAR,0.7
Dialogue is unclear and muddy,SPEECH_UNCLEAR,0.65
I can hear people talking but cannot follow the words,SPEECH_UNCLEAR,0.7
The consonants in speech are hard to distinguish,SPEECH_UNCLEAR,0.6
Everything sounds like mumbling,SPEECH_UNCLEAR,0.75
I cannot follow the conversation at all,SPEECH_UNCLEAR,0.7
Speech intelligibility is very poor,SPEECH_UNCLEAR,0.85
Words are blurry and indistinct,SPEECH_UNCLEAR,0.7
I miss half of what people say in conversation,SPEECH_UNCLEAR,0.75
The voice sounds distorted and garbled,SPEECH_UNCLEAR,0.65
High frequency consonants in speech are missing,SPEECH_UNCLEAR,0.6
The speech is slightly muffled,SPEECH_UNCLEAR,0.3
Sometimes I miss a word in conversation,SPEECH_UNCLEAR,0.25
Speech could be a bit more intelligible,SPEECH_UNCLEAR,0.2
I struggle to follow speech in noisy places,SPEECH_UNCLEAR,0.8
The voice is completely unintelligible,SPEECH_UNCLEAR,0.95
I cannot understand a single spoken word,SPEECH_UNCLEAR,1.0
People sound far away even when standing close,SPEECH_UNCLEAR,0.65
Dialogue sounds like it is behind a wall,SPEECH_UNCLEAR,0.7
Can you make the voices clearer and more intelligible,SPEECH_UNCLEAR,0.6
It is difficult to follow what is being said,SPEECH_UNCLEAR,0.65
The speech articulation sounds very poor,SPEECH_UNCLEAR,0.7
Every now and then I miss a syllable,SPEECH_UNCLEAR,0.05
Occasionally a word seems slightly unclear,SPEECH_UNCLEAR,0.08
Speech is almost completely intelligible,SPEECH_UNCLEAR,0.1
Speech is completely and utterly incomprehensible,SPEECH_UNCLEAR,1.0
The vocal track is intensely smeared and unreadable,SPEECH_UNCLEAR,0.85
The words are running together into absolute mush,SPEECH_UNCLEAR,0.9
I can hear vocalizations but no semantic definition,SPEECH_UNCLEAR,0.75
The vocal clarity drops off completely on every suffix,SPEECH_UNCLEAR,0.55
Speech sound tokens are overlapping and highly distorted,SPEECH_UNCLEAR,0.8
The pronunciation is highly indistinct and hard to catch,SPEECH_UNCLEAR,0.65
The speech signal is incredibly phasey and chopped up,SPEECH_UNCLEAR,0.8
I notice a faint trailing echo blurring the speech,SPEECH_UNCLEAR,0.35
The verbal delivery is entirely swallowed by the room,SPEECH_UNCLEAR,0.75
Every plosive sound is completely obliterated here,SPEECH_UNCLEAR,0.6
The dialogue sounds totally scrambled and disconnected,SPEECH_UNCLEAR,0.85
I am getting zero comprehension from this verbal audio,SPEECH_UNCLEAR,0.95
The talker sounds incredibly muffled like a distant echo,SPEECH_UNCLEAR,0.7
Vowels are leaking into one another endlessly,SPEECH_UNCLEAR,0.65
The high frequency speech definition is completely dead,SPEECH_UNCLEAR,0.75
I can parse about ten percent of the dialogue stream,SPEECH_UNCLEAR,0.9
The articulation is exceptionally weak and slurred,SPEECH_UNCLEAR,0.7
Speech sounds are entirely washed out by reverberation,SPEECH_UNCLEAR,0.8
I hear voice components but they are completely mangled,SPEECH_UNCLEAR,0.85
The spoken sentences have a very strange robotic smear,SPEECH_UNCLEAR,0.6
Every single word is utterly choked and unidentifiable,SPEECH_UNCLEAR,1.0
The conversation sounds like a low-pass filtered hum,SPEECH_UNCLEAR,0.8
A tiny bit of verbal definition is missing on transients,SPEECH_UNCLEAR,0.15
The voice is slightly soft and lacking crisp contours,SPEECH_UNCLEAR,0.25
I can almost track the speech but it requires straining,SPEECH_UNCLEAR,0.45
The phonemes are thoroughly degraded along the pipeline,SPEECH_UNCLEAR,0.7
Voices sound intensely woolly and completely lack edge,SPEECH_UNCLEAR,0.65
The dialogue structure is completely dissolved into noise,SPEECH_UNCLEAR,0.85
I am completely unable to decode these vocal sounds,SPEECH_UNCLEAR,0.9
Speech intelligibility has dropped down to zero percent,SPEECH_UNCLEAR,1.0
The speaker is totally unintelligible due to masking,SPEECH_UNCLEAR,0.8
Words sound like they are processed through a bad filter,SPEECH_UNCLEAR,0.55
The verbal clarity is marginally below what I need,SPEECH_UNCLEAR,0.2
A mild blur affects the fast conversation exchanges,SPEECH_UNCLEAR,0.3
The dialogue is entirely unreadable from start to finish,SPEECH_UNCLEAR,0.95
Voices are highly distorted and bleeding together,SPEECH_UNCLEAR,0.75
I cannot resolve the specific terms being spoken,SPEECH_UNCLEAR,0.65
The narration track is incredibly thick and muddy,SPEECH_UNCLEAR,0.6
Every syllable is completely buried under the acoustic mix,SPEECH_UNCLEAR,0.8
The speaker sounds like they are whispering into a pillow,SPEECH_UNCLEAR,0.7
I can barely resolve the outline of the conversation,SPEECH_UNCLEAR,0.55
The speech signal is severely broken up and corrupted,SPEECH_UNCLEAR,0.85
Vocal tracking is highly unstable and constantly drops,SPEECH_UNCLEAR,0.7
The words are extremely fuzzy around the edges,SPEECH_UNCLEAR,0.5
I am experiencing extreme difficulty parsing the sentences,SPEECH_UNCLEAR,0.75
The entire speech band is heavily compromised and dark,SPEECH_UNCLEAR,0.65
Speech sounds completely underwater and lacks all detail,SPEECH_UNCLEAR,0.8
A minor loss of speech clarity occurs on fast words,SPEECH_UNCLEAR,0.18
The conversation is completely unintelligible to my ears,SPEECH_UNCLEAR,0.9
I hear muddled vocal tones but zero actual syntax,SPEECH_UNCLEAR,0.85
The voice is extremely distorted and entirely mangled,SPEECH_UNCLEAR,0.95
Speech sounds are totally smeared across time slots,SPEECH_UNCLEAR,0.7
The articulation level is genuinely painful to decipher,SPEECH_UNCLEAR,0.85
I notice a constant phonetic blurring in the audio track,SPEECH_UNCLEAR,0.4
The words are running together into an aggregate mush,SPEECH_UNCLEAR,0.75
Dialogue comprehension is entirely impossible right now,SPEECH_UNCLEAR,1.0
The spoken text sounds completely masked and unreadable,SPEECH_UNCLEAR,0.8
A moderate amount of speech blurring is tracking here,SPEECH_UNCLEAR,0.45
The verbal track lacks all presence and definition,SPEECH_UNCLEAR,0.6
Every phrase sounds completely smeared and hard to track,SPEECH_UNCLEAR,0.7
The speaker sounds extremely far away and heavily muffled,SPEECH_UNCLEAR,0.75
I can barely pull the vocal signal out of the blend,SPEECH_UNCLEAR,0.55
The conversation sounds completely chaotic and garbled,SPEECH_UNCLEAR,0.8
Speech intelligibility is severely degraded on this track,SPEECH_UNCLEAR,0.85
A slight lack of vocal crispness is apparent here,SPEECH_UNCLEAR,0.15
The words are thoroughly washed out by room reflection,SPEECH_UNCLEAR,0.65
I hear voices but they sound entirely like gibberish,SPEECH_UNCLEAR,0.9
The dialogue is totally incomprehensible due to blurring,SPEECH_UNCLEAR,0.95
Every consonant is completely dropped from the speech,SPEECH_UNCLEAR,0.8
The talker is completely unintelligible from this distance,SPEECH_UNCLEAR,0.75
I am struggling intensely to follow the simple sentences,SPEECH_UNCLEAR,0.7
The speech band sounds heavily filtered and unnatural,SPEECH_UNCLEAR,0.5
A microscopic blur is tracking on some vocal tracks,SPEECH_UNCLEAR,0.06
The conversation is completely and utterly unreadable,SPEECH_UNCLEAR,1.0
Voices are highly muffled like they are inside a box,SPEECH_UNCLEAR,0.7
The speech structure is completely dissolved into mush,SPEECH_UNCLEAR,0.85
I notice severe phonetic degradation on this recording,SPEECH_UNCLEAR,0.75
The voice lacks all high-frequency clarity and crispness,SPEECH_UNCLEAR,0.6
Dialogue sounds completely garbled and out of phase,SPEECH_UNCLEAR,0.8
I cannot make out a single word from the presenter,SPEECH_UNCLEAR,0.9
The words are extremely fuzzy and bleed into each other,SPEECH_UNCLEAR,0.65
Speech is completely underwater and thoroughly unreadable,SPEECH_UNCLEAR,0.85
A moderate level of speech blurring affects the channel,SPEECH_UNCLEAR,0.4
The dialogue track is intensely smeared and incomprehensible,SPEECH_UNCLEAR,0.9
I hear voice modulations but zero phonetic syntax here,SPEECH_UNCLEAR,0.75
The speaker is totally unintelligible due to corruption,SPEECH_UNCLEAR,0.95
Every single phrase sounds completely muddy and broken,SPEECH_UNCLEAR,0.8
The conversation is completely blocked by bad processing,SPEECH_UNCLEAR,0.7
I am having an incredibly hard time tracking the speaker,SPEECH_UNCLEAR,0.65
The entire speech signal sounds heavily masked and dull,SPEECH_UNCLEAR,0.55
A mild blur affects the vocal clarity every few words,SPEECH_UNCLEAR,0.22
The spoken words are entirely running together right now,SPEECH_UNCLEAR,0.8
Dialogue intelligibility is completely and utterly broken,SPEECH_UNCLEAR,1.0
Voices are highly distorted and completely unreadable,SPEECH_UNCLEAR,0.85
I cannot resolve any specific details of the dialogue,SPEECH_UNCLEAR,0.7
The narration track sounds completely thick and muffled,SPEECH_UNCLEAR,0.6
Every word is completely washed out by the channel noise,SPEECH_UNCLEAR,0.75
The speaker sounds like they are deep inside a tunnel,SPEECH_UNCLEAR,0.75
I can barely track the fast parts of the conversation,SPEECH_UNCLEAR,0.5
The speech path is severely broken and deeply corrupted,SPEECH_UNCLEAR,0.9
Vocal clarity is highly unstable and thoroughly degraded,SPEECH_UNCLEAR,0.8
The phrases are extremely blurry around the consonants,SPEECH_UNCLEAR,0.65
I am experiencing severe issues parsing the vocal track,SPEECH_UNCLEAR,0.75
